13_06_23_140318
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
9,5,-2.66667,124.5,,0.441551,7.4,3.33538,-1.66769,4.00833
10,5,0.666667,133.167,,0.464699,7.4,3.28869,-1.64434,3.95221
11,5,0.666667,134,,0.467593,7.4,3.24265,-1.62132,3.89688
12,5,0.666667,135.833,,0.473958,7.4,3.19725,-1.59862,3.84232
13,5,0.666667,133.5,,0.465856,7.4,3.15249,-1.57624,3.78853
14,5,-2.66667,127.833,,0.453125,7.4,3.19662,-1.59831,3.84157
15,5,0.666667,135.833,,0.473958,7.4,3.15187,-1.57593,3.78779
16,5,-2.66667,124.5,,0.441551,7.4,3.196,-1.598,3.84082
17,5,0.666667,138.833,,0.484375,7.4,3.15125,-1.57563,3.78705
18,5,-1.66667,130.333,,0.458333,7.4,3.19537,-1.59768,3.84007
19,5,0.166667,135.167,,0.469907,7.4,3.15063,-1.57532,3.7863
20,5,-2.66667,122.667,,0.435185,7.4,3.19474,-1.59737,3.83931
21,5,0.666667,135.5,,0.472801,7.4,3.15002,-1.57501,3.78556
22,5,2.33333,145.333,,0.512731,7.4,3.10592,-1.55296,3.73256
23,5,3.16667,147.667,,0.523727,7.4,3.06243,-1.53122,3.68031
24,5,-3.5,121.5,,0.434028,7.4,3.10531,-1.55265,3.73183
25,5,-2.66667,124.5,,0.441551,7.4,3.14878,-1.57439,3.78408
14_06_23_121227
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,5,-274.833,224.667,,1.00301,6,2.0488,-1.0244,3.85343
2,5,-205,223.167,,0.859772,7.4,2.52686,-1.26343,4.75257
3,5,-176,232.833,,0.82095,8.8,3.00491,-1.50246,5.6517
4,5,-167.5,211,,0.76004,10.2,3.48296,-1.74148,6.55084
5,5,-152,203.667,,0.71419,11.6,3.96102,-1.98051,7.44997
6,5,-136.333,200.333,,0.676037,13,4.43907,-2.21954,8.34911
7,5,-128.333,179,,0.617135,14.4,4.91713,-2.45856,9.24824
8,5,-109.833,196.667,,0.615462,15.8,5.39518,-2.69759,10.1474
9,5,-102,189.5,,0.585341,17.2,5.87323,-2.93662,11.0465
10,5,-88.1667,187.667,,0.553882,18.6,6.35129,-3.17564,11.9456
11,5,-83,173.167,,0.514391,20,6.82934,-3.41467,12.8448
12,5,-87.3333,145.667,,0.467871,21.4,7.3074,-3.6537,13.7439
13,5,-80.3333,141.167,,0.444779,22.8,7.78545,-3.89272,14.643
14,5,-75.1667,130.5,,0.412985,24.2,8.2635,-4.13175,15.5422
15,5,-66,127.5,,0.388554,24.2,9.42039,-4.7102,17.7181
16,5,-44.3333,140.167,,0.370482,24.2,10.7392,-5.36962,20.1986
17,5,-25.3333,131.833,,0.315596,24.2,12.2427,-6.12137,23.0264
18,5,-20.1667,116,,0.273427,24.2,13.9567,-6.97836,26.2501
14_06_23_121341
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-391.909,260.364,,1.00042,7,0.73136,-0.36568,1.34129
2,10,-370.909,259.364,,0.966676,9.8,1.0239,-0.511952,1.87781
3,10,-356.636,259.364,,0.944785,12.6,1.31645,-0.658224,2.41432
4,10,-338.182,260.364,,0.918015,15.4,1.60899,-0.804496,2.95084
5,10,-319.091,252.727,,0.877022,18.2,1.90154,-0.950768,3.48736
6,10,-290,255.545,,0.836726,21,2.19408,-1.09704,4.02387
7,10,-282.727,244.364,,0.808422,23.8,2.48662,-1.24331,4.56039
8,10,-252.818,246.273,,0.765477,26.6,2.77917,-1.38958,5.09691
9,10,-231.182,286.364,,0.793781,29.4,3.07171,-1.53586,5.63342
10,10,-216.636,269.545,,0.745678,32.2,3.36426,-1.68213,6.16994
11,10,-202.182,246.636,,0.688371,35,3.6568,-1.8284,6.70645
12,10,-200.727,198.818,,0.6128,37.8,3.94934,-1.97467,7.24297
13,10,-185.091,207.818,,0.602621,40.6,4.24189,-2.12094,7.77949
14,10,-181.091,183.273,,0.55884,43.4,4.53443,-2.26722,8.316
15,10,-171.182,167.364,,0.519241,46.2,4.82697,-2.41349,8.85252
16,10,-150.364,186.273,,0.516313,49,5.11952,-2.55976,9.38903
17,10,-140.545,172.364,,0.479922,51.8,5.41206,-2.70603,9.92555
18,10,-127.455,184.182,,0.47797,54.2,5.66281,-2.83141,10.3854
19,10,-119.909,175.182,,0.452593,57,5.95536,-2.97768,10.9219
20,10,-111.636,166,,0.425823,59.8,6.2479,-3.12395,11.4585
21,10,-117.455,118.091,,0.361266,59.8,7.12261,-3.5613,13.0626
22,10,-93.2727,111.727,,0.314417,59.8,8.11977,-4.05989,14.8914
23,10,-54.0909,142.636,,0.301729,59.8,9.09415,-4.54707,16.6784
24,10,-45.7273,96.9091,,0.218767,59.8,10.3673,-5.18366,19.0133
24,10,-8.09091,120.818,,0.197713,59.8,10.3673,-5.18366,19.0133
24,10,-8.90909,119.909,,0.197574,59.8,10.3673,-5.18366,19.0133
14_06_23_121923
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-386.818,260.364,1.00183,7,0.73136,-0.36568,1.34129
2,10,-369.091,260.364,0.974388,9.8,1.0239,-0.511952,1.87781
3,10,-357.091,260.364,0.955812,12.6,1.31645,-0.658224,2.41432
4,10,-338.182,260.364,0.926541,15.4,1.60899,-0.804496,2.95084
5,10,-320.182,233,0.856319,18.2,1.90154,-0.950768,3.48736
6,10,-299.182,253,0.854771,21,2.19408,-1.09704,4.02387
7,10,-283.182,245.727,0.818745,23.8,2.48662,-1.24331,4.56039
8,10,-254.636,226.455,0.744723,26.6,2.77917,-1.38958,5.09691
9,10,-233.182,250.455,0.748663,29.4,3.07171,-1.53586,5.63342
10,10,-228,236.182,0.718548,32.2,3.36426,-1.68213,6.16994
11,10,-200.545,250.091,0.69758,35,3.6568,-1.8284,6.70645
12,10,-193.455,239.364,0.669997,37.8,3.94934,-1.97467,7.24297
13,10,-181.273,224.636,0.628342,40.6,4.24189,-2.12094,7.77949
14,10,-170.091,206.636,0.583169,43.4,4.53443,-2.26722,8.316
15,10,-174.273,144.091,0.492823,46.2,4.82697,-2.41349,8.85252
16,10,-148.636,188.091,0.52125,49,5.11952,-2.55976,9.38903
17,10,-124.091,212,0.520265,51.8,5.41206,-2.70603,9.92555
18,10,-127.727,174.273,0.467492,54.6,5.70461,-2.8523,10.4621
19,10,-112.091,194.273,0.474247,57.4,5.99715,-2.99858,10.9986
20,10,-97.3636,205.091,0.468196,60.2,6.28969,-3.14485,11.5351
21,10,-122.364,94.5455,0.335773,60.2,10.6925,-5.34624,19.6097
22,10,32.9091,130.091,0.252322,60.2,3.20774,-1.60387,5.8829
23,10,-102.909,244.273,0.537433,63,6.58224,-3.29112,12.0716
24,10,-75.0909,76.9091,0.235294,63,11.1898,-5.5949,20.5217
25,10,41.8182,118.364,0.247959,63,3.35694,-1.67847,6.15652
26,10,-128.727,131.273,0.402477,65.8,6.87478,-3.43739,12.6081
27,10,-46,118.273,0.254292,65.8,11.6871,-5.84357,21.4338
28,10,61.4545,156,0.336617,65.8,3.50614,-1.75307,6.43015
29,10,-111.636,156.909,0.415705,68.6,7.16733,-3.58366,13.1446
30,10,-27.4545,133.818,0.249648,68.6,12.1845,-6.09223,22.3459
31,10,57.0909,113.909,0.264706,68.6,3.65534,-1.82767,6.70377
32,10,-107.909,144.636,0.390937,68.6,6.21407,-3.10704,11.3964
33,10,-89.9091,43.7273,0.206867,68.6,10.5639,-5.28196,19.3739
34,10,39.8182,131.545,0.265269,68.6,3.16918,-1.58459,5.81217
35,10,-126.091,139.818,0.411624,71.4,7.45987,-3.72994,13.6812
36,10,-22.8182,113.636,0.21123,71.4,11.9358,-5.9679,21.8899
37,10,54.1818,120.909,0.271039,71.4,3.58074,-1.79037,6.56696
38,10,-107.273,149.273,0.397129,71.4,6.08725,-3.04363,11.1638
39,10,-84.1818,66.2727,0.232902,71.4,10.3483,-5.17417,18.9785
40,10,44.5455,163,0.321278,71.4,3.1045,-1.55225,5.69355
41,10,-129.455,135.727,0.410498,74.2,7.75241,-3.87621,14.2177
42,10,4.36364,154.182,0.245426,74.2,2.32572,-1.16286,4.2653
43,10,-145.364,185.545,0.512243,77,8.04496,-4.02248,14.7542
43,10,0.0909091,110.636,0.171404,77,8.04496,-4.02248,14.7542
43,10,-4.45455,106,0.170982,77,8.04496,-4.02248,14.7542
14_06_23_122306
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,460.273,260.364,1.00088,3,-0.831641,-0.415821,-0.141415
2,10,457.455,260.364,0.99697,0.2,-0.0554428,-0.0277214,-0.00942768
14_06_23_122630
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,477.091,85.8182,1.00162,7,-1.9405,-0.970248,-0.329969
2,10,406.091,123.818,0.942899,9.4,-2.60581,-1.3029,-0.443101
3,10,388.182,83.8182,0.839858,12.2,-3.38201,-1.691,-0.575089
4,10,365.545,70.1818,0.775315,15,-4.15821,-2.0791,-0.707076
5,10,330.455,60.9091,0.696377,17.8,-4.93441,-2.4672,-0.839064
6,10,296.545,46.6364,0.610644,20.6,-5.7106,-2.8553,-0.971051
7,10,253.273,50,0.539631,23.4,-6.4868,-3.2434,-1.10304
8,10,209.364,77.4545,0.510353,25.8,-7.15212,-3.57606,-1.21617
9,10,206.273,7.27273,0.379974,25.8,-12.1586,-6.0793,-2.06749
9,10,38.0909,-44.1818,-0.0108379,25.8,-12.1586,-6.0793,-2.06749
9,10,16.9091,-6.36364,0.0187642,25.8,-12.1586,-6.0793,-2.06749
9,10,33.0909,-45.6364,-0.0223229,25.8,-12.1586,-6.0793,-2.06749
14_06_23_122926
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-491,84.8182,1.00317,7,0.73136,-0.36568,1.34129
2,10,-481.636,81.7273,0.98147,9.8,1.0239,-0.511952,1.87781
3,10,-462.364,81.7273,0.947894,12.6,1.31645,-0.658224,2.41432
4,10,-437.455,80.7273,0.902756,15.4,1.60899,-0.804496,2.95084
5,10,-415.273,81.7273,0.865854,18.2,1.90154,-0.950768,3.48736
6,10,-374.091,85.4545,0.800602,20.6,2.15229,-1.07614,3.94723
7,10,-372.182,83.9091,0.794583,23.4,2.44483,-1.22242,4.48374
8,10,-335.909,81.6364,0.727431,26.2,2.73738,-1.36869,5.02026
9,10,-314.727,87,0.699873,29,3.02992,-1.51496,5.55678
10,10,-297.364,76.1818,0.650776,31.8,3.32246,-1.66123,6.09329
11,10,-278.364,75.4545,0.616408,34.6,3.61501,-1.8075,6.62981
12,10,-278.636,46.9091,0.567152,37.4,3.90755,-1.95378,7.16633
13,10,-261.909,39.8182,0.525657,40.2,4.20009,-2.10005,7.70284
14,10,-231.545,60.4545,0.508711,43,4.49264,-2.24632,8.23936
15,10,-234.182,34.7273,0.468483,45.8,4.78518,-2.39259,8.77587
16,10,-224.273,11.8182,0.411308,48.6,5.07773,-2.53886,9.31239
17,10,-206.818,34.2727,0.420019,51.4,5.37027,-2.68514,9.84891
18,10,-202.545,-2.18182,0.349066,51.4,9.12946,-4.56473,16.7431
18,10,-90.6364,-87.6364,0.00522648,51.4,9.12946,-4.56473,16.7431
18,10,-86.1818,-79,0.0125119,51.4,9.12946,-4.56473,16.7431
18,10,-84.0909,-75.1818,0.0155211,51.4,9.12946,-4.56473,16.7431
14_06_23_123053
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-484.818,44.6364,1.00275,7,0.348529,-0.174264,0.0646201
2,10,-479.545,38.6364,0.981405,9.8,0.48794,-0.24397,0.0904682
3,10,-479.545,43.6364,0.990875,12.6,0.627352,-0.313676,0.116316
4,10,-476.818,38.6364,0.97624,15.4,0.766763,-0.383382,0.142164
5,10,-474.455,37.6364,0.969869,18.2,0.906175,-0.453087,0.168012
6,10,-472.182,38.6364,0.967459,21,1.04559,-0.522793,0.19386
7,10,-468.091,38.6364,0.959711,23.8,1.185,-0.592499,0.219708
8,10,-465.636,38.6364,0.955062,26.6,1.32441,-0.662205,0.245556
9,10,-460.727,38.6364,0.945764,29.4,1.46382,-0.731911,0.271405
10,10,-455.727,38.6364,0.936295,32.2,1.60323,-0.801616,0.297253
11,10,-453.182,3,0.863981,35,1.74264,-0.871322,0.323101
12,10,-447.545,38.6364,0.920799,37.8,1.88206,-0.941028,0.348949
13,10,-442.091,32.9091,0.899621,40.6,2.02147,-1.01073,0.374797
14,10,-437,28.8182,0.882231,43.4,2.16088,-1.08044,0.400645
15,10,-430.909,35.9091,0.884125,46.2,2.30029,-1.15014,0.426493
16,10,-423.909,22.1818,0.844869,49,2.4397,-1.21985,0.452341
17,10,-418.182,25.5455,0.840393,51.8,2.57911,-1.28956,0.478189
18,10,-410.364,24.1818,0.823003,54.6,2.71852,-1.35926,0.504037
19,10,-402.273,29.2727,0.817321,57.4,2.85794,-1.42897,0.529885
20,10,-394.545,31.3636,0.806646,60.2,2.99735,-1.49867,0.555733
21,10,-390.455,-2.45455,0.734848,63,3.13676,-1.56838,0.581581
22,10,-380.455,28.6364,0.774793,65.8,3.27617,-1.63809,0.607429
23,10,-372.091,13.8182,0.730888,68.6,3.41558,-1.70779,0.633277
24,10,-365.455,3.45455,0.698691,71.4,3.55499,-1.7775,0.659125
25,10,-357.182,10.0909,0.695592,74.2,3.69441,-1.8472,0.684973
26,10,-349.818,10.0909,0.681646,77,3.83382,-1.91691,0.710821
27,10,-340.364,21.8182,0.68595,79.8,3.97323,-1.98661,0.736669
28,10,-334,7,0.645833,82.6,4.11264,-2.05632,0.762517
29,10,-333.273,-12,0.608471,85.4,4.25205,-2.12603,0.788365
30,10,-318,14.4545,0.629649,88.2,4.39146,-2.19573,0.814213
31,10,-320.091,-31.0909,0.547348,91,4.53087,-2.26544,0.840062
32,10,-309.364,-19.8182,0.548382,93.8,4.67029,-2.33514,0.86591
33,10,-295.091,12.1818,0.581956,96.6,4.8097,-2.40485,0.891758
34,10,-290.909,-11.8182,0.528581,99.4,4.94911,-2.47455,0.917606
35,10,-280.182,-2.72727,0.525482,102.2,5.08852,-2.54426,0.943454
36,10,-277.455,-18.3636,0.490702,105,5.22793,-2.61397,0.969302
37,10,-267.273,-11.2727,0.484848,107.8,5.36734,-2.68367,0.99515
38,10,-266.727,-44.2727,0.421315,110.6,5.50676,-2.75338,1.021
39,10,-252.545,-19.1818,0.441977,113.4,5.64617,-2.82308,1.04685
40,10,-239.727,9.09091,0.471247,116.2,5.78558,-2.89279,1.07269
41,10,-239.727,-21.8182,0.412707,119,5.92499,-2.96249,1.09854
42,10,-230.273,-18.5455,0.400999,121.8,6.0644,-3.0322,1.12439
43,10,-232.091,-58.2727,0.329201,121.8,10.3095,-5.15474,1.91146
43,10,-5.09091,-133.909,-0.243974,121.8,10.3095,-5.15474,1.91146
43,10,-9,-146.273,-0.259986,121.8,10.3095,-5.15474,1.91146
23_06_23_082835
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_083031
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_083124
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_083418
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_083900
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_083950
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_084020
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_084144
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_084331
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
23_06_23_084443
