03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
17,49,-1,17.5,12.3715,-6.18575,16.4618
18,60,-11,17.5,11.655,-5.8275,15.5084
19,53,7,17.5,12.1817,-6.09084,16.2092
20,54,-1,17.5,11.6102,-5.80512,15.4488
21,52,2,17.5,12.1153,-6.05764,16.1208
22,48,4,17.5,12.5643,-6.28217,16.7184
23,48,0,17.5,13.03,-6.51502,17.338
24,52,-4,17.5,12.4632,-6.23162,16.5838
23_05_23_112127
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.342293,0,0.950686
1,378,-378,10,-0.684586,-0.342293,1.90137
2,382,-4,17,-1.1638,-0.581898,3.23233
3,388,-6,24,-1.64301,-0.821503,4.56329
05_06_23_173935
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0254523,0,-0.628468
1,445,-445,0,0,-0,0
2,444,1,7,0.0178166,-0.00890831,-0.439928
05_06_23_174305
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0254523,0,-0.628468
1,835,-835,0,0,-0,0
2,840,0,7,0.0178166,-0.00890831,-0.439928
3,839,1,14,0.0356332,-0.0178166,-0.879855
4,846,-7,7,0.0178166,-0.00890831,-0.439928
5,844,2,14,0.0356332,-0.0178166,-0.879855
6,846,-2,7,0.0178166,-0.00890831,-0.439928
7,844,2,14,0.0356332,-0.0178166,-0.879855
8,846,-2,7,0.0178166,-0.00890831,-0.439928
9,844,2,14,0.0356332,-0.0178166,-0.879855
08_06_23_095719
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0254523,0,-0.628468
1,0,-960,10,0.0254523,-0.0127262,-0.628468
2,0,-6,17,0.0432689,-0.0216345,-1.0684
3,0,-2,24,0.0610856,-0.0305428,-1.50832
4,0,-4,31,0.0789022,-0.0394511,-1.94825
5,0,-16,37,0.0941736,-0.0470868,-2.32533
6,0,-21,43,0.109445,-0.0547225,-2.70241
7,0,-15,50,0.127262,-0.0636308,-3.14234
8,0,-20,56,0.142533,-0.0712665,-3.51942
9,0,-28,62,0.157804,-0.0789022,-3.8965
10,0,-24,68,0.173076,-0.0865379,-4.27358
11,0,-31,74,0.188347,-0.0941736,-4.65066
12,0,-24,80,0.203619,-0.101809,-5.02774
13,0,-39,86,0.21889,-0.109445,-5.40482
14,0,-22,92,0.234161,-0.117081,-5.7819
15,0,13,99,0.251978,-0.125989,-6.22183
16,0,-44,104.5,0.265977,-0.132988,-6.56749
17,0,-30,110.5,0.281248,-0.140624,-6.94457
18,0,-23,116.5,0.296519,-0.14826,-7.32165
19,0,34,122.5,0.311791,-0.155895,-7.69873
20,0,7,129.5,0.329607,-0.164804,-8.13866
21,0,29,135.5,0.344879,-0.172439,-8.51574
08_06_23_101545
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.203185,0,1.20547
1,0,-520,6,0.243822,-0.121911,1.44656
2,0,30,7.2,0.292587,-0.146293,1.73587
3,0,7,8.6,0.349478,-0.174739,2.0734
4,0,10,10,0.40637,-0.203185,2.41093
5,0,9,11.4,0.463262,-0.231631,2.74846
6,0,10,12.8,0.520154,-0.260077,3.08599
7,0,9,14.2,0.577046,-0.288523,3.42352
8,0,11,15.6,0.633938,-0.316969,3.76106
9,0,5,17,0.690829,-0.345415,4.09859
10,0,10,18.4,0.747721,-0.37386,4.43611
11,0,9,19.8,0.804613,-0.402306,4.77364
12,0,9,21.2,0.861505,-0.430752,5.11118
13,0,8,22.6,0.918396,-0.459198,5.44871
14,0,3,24,0.975288,-0.487644,5.78624
15,0,13,25.4,1.03218,-0.51609,6.12377
16,0,8,26.8,1.08907,-0.544536,6.4613
17,0,11,26.8,2.61377,-1.30689,15.5071
18,0,113,26.8,5.22755,-2.61377,31.0142
18,0,-4,26.8,5.22755,-2.61377,31.0142
08_06_23_104158
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-489,6,1.44656,-0.72328,0.243822
2,0,26,7.2,1.73587,-0.867936,0.292587
3,0,12,8.6,2.0734,-1.0367,0.349478
4,0,12,10,2.41093,-1.20547,0.40637
5,0,15,11.4,2.74846,-1.37423,0.463262
6,0,15,12.8,3.08599,-1.543,0.520154
7,0,16,14,3.37531,-1.68765,0.568918
8,0,13,15.4,3.71284,-1.85642,0.62581
9,0,15,16.8,4.05037,-2.02518,0.682702
10,0,17,16.8,8.91081,-4.4554,1.50194
10,0,1,16.8,8.91081,-4.4554,1.50194
08_06_23_104255
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-487,6,1.44656,-0.72328,0.243822
2,0,18,7.2,1.73587,-0.867936,0.292587
3,0,19,8.4,2.02518,-1.01259,0.341351
4,0,10,9.8,2.36271,-1.18136,0.398243
5,0,14,11.2,2.70024,-1.35012,0.455135
6,0,17,12.4,2.98956,-1.49478,0.503899
7,0,12,13.8,3.32709,-1.66354,0.560791
8,0,16,15,3.6164,-1.8082,0.609555
9,0,13,16.4,3.95393,-1.97696,0.666447
10,0,13,16.4,9.48943,-4.74471,1.59947
10,0,-2,16.4,9.48943,-4.74471,1.59947
08_06_23_104525
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
0,0,0,5,1.20547,0,0.203185
08_06_23_104612
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-493,6,1.44656,-0.72328,0.243822
2,0,28,7.2,1.73587,-0.867936,0.292587
3,0,9,8.6,2.0734,-1.0367,0.349478
4,0,6,10,2.41093,-1.20547,0.40637
08_06_23_104720
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-492,6,1.44656,-0.72328,0.243822
2,0,32,7.2,1.73587,-0.867936,0.292587
3,0,7,8.6,2.0734,-1.0367,0.349478
4,0,12,10,2.41093,-1.20547,0.40637
5,0,18,11.2,2.70024,-1.35012,0.455135
6,0,10,12.6,3.03778,-1.51889,0.512027
7,0,15,14,3.37531,-1.68765,0.568918
8,0,19,15.2,3.66462,-1.83231,0.617683
9,0,12,16.6,4.00215,-2.00107,0.674574
10,0,15,18,4.33968,-2.16984,0.731466
11,0,10,19.4,4.67721,-2.3386,0.788358
12,0,16,20.6,4.96652,-2.48326,0.837122
13,0,15,22,5.30405,-2.65203,0.894014
14,0,14,23.4,5.64158,-2.82079,0.950906
15,0,17,24.6,5.93089,-2.96545,0.99967
16,0,-10,26,6.26842,-3.13421,1.05656
17,0,14,27.4,6.60595,-3.30298,1.11345
18,0,24,28.6,6.89527,-3.44763,1.16222
19,0,30,29.8,7.18458,-3.59229,1.21098
20,0,0,31.2,7.52211,-3.76105,1.26787
21,0,26,31.2,16.5486,-8.27432,2.78932
21,0,-15,31.2,16.5486,-8.27432,2.78932
08_06_23_104942
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.628468,0,0.0254523
1,0,-908,6,0.377081,-0.18854,0.0152714
2,0,10,7.4,0.465066,-0.232533,0.0188347
3,0,2,8.8,0.553052,-0.276526,0.022398
4,0,1,10.2,0.641037,-0.320519,0.0259614
5,0,1,11.6,0.729023,-0.364511,0.0295247
6,0,4,13,0.817008,-0.408504,0.033088
7,0,1,14.4,0.904994,-0.452497,0.0366513
8,0,2,15.8,0.992979,-0.49649,0.0402147
9,0,3,17.2,1.08096,-0.540482,0.043778
10,0,3,18.6,1.16895,-0.584475,0.0473413
11,0,3,20,1.25694,-0.628468,0.0509046
12,0,3,21.4,1.34492,-0.672461,0.054468
13,0,0,22.8,1.43291,-0.716453,0.0580313
14,0,2,24.2,1.52089,-0.760446,0.0615946
15,0,2,25.6,1.60888,-0.804439,0.0651579
16,0,5,27,1.69686,-0.848431,0.0687212
